Day,Sick,Recovered,Deceased,Vaccinated,Immune,Susceptible
0,90,0,0,0,0,910
1,88,19,5,0,19,888
2,117,38,14,0,38,831
3,130,66,21,0,66,783
4,170,88,28,0,88,714
5,198,117,36,0,117,649
6,192,164,42,0,164,602
7,201,201,50,0,201,548
8,206,240,59,40,267,468
9,209,285,63,80,332,396
10,199,318,72,120,394,335
11,183,355,83,160,445,289
12,156,400,94,200,509,241
13,137,436,100,240,561,202
14,116,463,104,280,596,184
15,107,482,108,320,631,154
16,90,499,114,360,657,139
17,71,518,115,400,686,128
18,50,534,120,440,711,119
19,38,547,121,480,734,107
20,28,559,122,520,757,93
21,17,570,123,560,780,80
22,10,576,124,600,798,68
23,9,578,124,640,809,58
24,9,578,124,680,817,50
25,8,578,125,720,826,41
26,6,580,125,760,837,32
27,5,581,125,800,851,19
28,3,582,126,840,864,7
29,3,582,126,871,871,0
