Day,Sick,Recovered,Deceased,Vaccinated,Immune,Susceptible
0,110,0,0,0,0,890
1,95,25,5,0,25,875
2,102,44,10,0,44,844
3,115,66,14,0,66,805
4,120,91,22,0,91,767
5,139,113,28,0,113,720
6,163,138,32,0,138,667
7,180,160,38,0,160,622
8,196,190,50,0,190,564
9,209,218,61,0,218,512
10,200,268,71,40,295,434
11,192,312,82,80,361,365
12,187,349,86,120,419,308
13,168,390,93,160,480,259
14,143,419,98,200,529,230
15,130,449,106,240,573,191
16,108,477,116,280,611,165
17,90,496,120,320,644,146
18,71,518,124,360,675,130
19,61,527,132,400,693,114
20,51,535,135,440,712,102
21,41,546,139,480,734,86
22,37,552,140,520,746,77
23,29,558,143,560,767,61
24,24,562,144,600,781,51
25,16,570,144,640,802,38
26,14,573,144,680,818,24
27,8,578,145,720,835,12
28,7,579,145,760,853,-5
29,5,580,146,800,864,-15
30,3,582,148,840,874,-25
31,3,582,148,849,878,-29
32,3,582,148,849,878,-29
33,2,583,148,850,879,-29
34,1,584,148,851,880,-29
35,1,584,148,851,880,-29
36,1,584,148,851,880,-29
